Rank| H1B Visa Sponsor| Number of LCA  *| Average Salary| Job Title
61|Frontier Technologies|34| $80,617|Systems Analyst
62|Noblesoft Solutions|34| $70,294|Systems Analyst
63|Sage It|34| $64,786|Systems Analyst
64|Nuview Technologies|34| $64,118|Systems Analyst
65|Anveta|34| $64,038|Systems Analyst
66|Selectiva Systems|33| $84,848|Systems Analyst
67|Mansai|33| $62,330|Systems Analyst
68|Competent Systems|32| $74,750|Systems Analyst
69|Applab Systems|32| $71,000|Systems Analyst
70|Morlogic|32| $63,000|Systems Analyst
71|Mastech Resourcing|31| $90,184|Systems Analyst
72|Itech Us|31| $84,619|Systems Analyst
73|Flexera Global|31| $67,194|Systems Analyst
74|8k Miles Software Services|30| $70,071|Systems Analyst
75|Damian Consulting|30| $62,430|Systems Analyst
76|Accenz|30| $60,188|Systems Analyst
77|Elastic Computing Solutions|29| $104,034|Systems Analyst
78|First Tek|29| $65,578|Systems Analyst
79|Dsys|29| $61,401|Systems Analyst
80|Anu Software Consultants|28| $89,077|Systems Analyst
81|Scepter Technologies|28| $85,104|Systems Analyst
82|Sayeon|28| $81,084|Systems Analyst
83|Ziontech Solutions|28| $75,025|Systems Analyst
84|Texara Solutions|28| $67,893|Systems Analyst
85|Friendly Consultants|28| $66,003|Systems Analyst
86|American Tech Vision Solutions|28| $63,107|Systems Analyst
87|Avant Systems|28| $60,732|Systems Analyst
88|Hcl Global Systems|27| $70,017|Systems Analyst
89|Microinfo|27| $60,756|Systems Analyst
90|Mastech, A Mastech Holdings Company|26| $86,717|Systems Analyst
91|Smart Works|26| $85,373|Systems Analyst
92|Vsion Technologies|26| $67,769|Systems Analyst
93|Ilogic|26| $63,057|Systems Analyst
94|Smartsoft International|25| $80,968|Systems Analyst
95|C-Vision|25| $66,277|Systems Analyst
96|Rite Software Solutions And Services|25| $66,200|Systems Analyst
97|Oncorre|25| $65,230|Systems Analyst
98|Grassroot Technologies|25| $64,672|Systems Analyst
99|It & Ebusiness Consulting Services|25| $64,527|Systems Analyst
100|Sure Tech Services|23| $63,576|Systems Analyst
101|Aikya Information Systems|23| $60,250|Systems Analyst
102|Whiz It Solutions|23| $60,144|Systems Analyst
103|Gss Infotech|23| $60,000|Systems Analyst
104|Experis Us|22| $98,260|Systems Analyst
105|Sysintelli|22| $77,841|Systems Analyst
106|Astir It Solutions|22| $77,373|Systems Analyst
107|Forsys|22| $73,900|Systems Analyst
108|3i Infotech|22| $72,364|Systems Analyst
109|Adroix|22| $66,773|Systems Analyst
110|Eifer Software Solutions|22| $62,818|Systems Analyst
111|Inovant|21| $96,789|Systems Analyst
112|Ramps International|21| $77,857|Systems Analyst
113|Quadrant 4 System|21| $76,148|Systems Analyst
114|Dr Technologies|21| $63,762|Systems Analyst
115|Nu Info Systems|21| $62,879|Systems Analyst
116|Doli Systems|21| $62,219|Systems Analyst
117|Innovative Consulting Solutions|21| $57,258|Systems Analyst
118|Swift Tech|21| $52,619|Systems Analyst
119|Cybage Software|20| $71,852|Systems Analyst
120|Radiance Solutions|20| $65,000|Systems Analyst
121|Intel|19| $98,709|Systems Analyst
122|Polaris Consulting & Services|19| $73,209|Systems Analyst
123|Cigniti|19| $71,365|Systems Analyst
124|Bitwise|19| $66,938|Systems Analyst
125|Premier It Solutions|19| $66,737|Systems Analyst
126|Niftek|19| $64,263|Systems Analyst
127|Avco Consulting|19| $62,332|Systems Analyst
128|Saturn Infotech|18| $74,701|Systems Analyst
129|Unify Solutions|18| $70,656|Systems Analyst
130|Lancesoft|18| $68,889|Systems Analyst
131|Shinewell Technologies|18| $60,306|Systems Analyst
132|Decipher Software Solutions|17| $73,280|Systems Analyst
133|Novelty Infotech|17| $62,440|Systems Analyst
134|Nitco|17| $59,139|Systems Analyst
135|Vevey Software Solutions|16| $74,250|Systems Analyst
136|Megan Soft|16| $72,214|Systems Analyst
137|Lead It|16| $71,497|Systems Analyst
138|Stat9 Technologies|16| $63,688|Systems Analyst
139|Classroom Support Services|16| $61,545|Systems Analyst
140|Logixhub|16| $60,140|Systems Analyst
141|Prokarma|15| $101,800|Systems Analyst
142|Thinc Systems|15| $86,235|Systems Analyst
143|Zgage|15| $82,873|Systems Analyst
144|Akken|15| $74,734|Systems Analyst
145|Img Systems|15| $71,803|Systems Analyst
146|Redeemsoft|15| $66,733|Systems Analyst
147|Conation Consulting Services|15| $62,009|Systems Analyst
148|Lilax Technologies|15| $61,067|Systems Analyst
149|Populus Group|14| $93,383|Systems Analyst
150|Cybersoft Technologies|14| $72,643|Systems Analyst
151|Benefitalign|14| $70,357|Systems Analyst
152|Eminent Software Services|14| $69,450|Systems Analyst
153|Visam Technologies|14| $65,648|Systems Analyst
154|Opel Systems|14| $63,985|Systems Analyst
155|Aquil Systems|14| $63,480|Systems Analyst
156|Tenazx|14| $61,886|Systems Analyst
157|Sierra Infosys|14| $60,566|Systems Analyst
158|American Technology Labs|14| $59,607|Systems Analyst
159|Krypt|13| $112,793|Systems Analyst
160|Accenture|13| $95,257|Systems Analyst
161|Srs Consulting|13| $89,692|Systems Analyst
162|Virtue Group|13| $84,808|Systems Analyst
163|Snuvik Technologies|13| $82,077|Systems Analyst
164|Bahwan Cybertek|13| $75,239|Systems Analyst
165|Kastech Solutions|13| $72,923|Systems Analyst
166|Global Technical Software Services|13| $71,846|Systems Analyst
167|Computek Soulutions|13| $65,000|Systems Analyst
168|Applied It|13| $64,231|Systems Analyst
169|Nemo It Solutions|13| $63,308|Systems Analyst
170|Skillsight|13| $62,846|Systems Analyst
171|Accel International|13| $62,477|Systems Analyst
172|E-Nexus|13| $62,023|Systems Analyst
173|Geonine|13| $61,920|Systems Analyst
174|Inj Software Solutions|12| $89,623|Systems Analyst
175|Icore Infotech|12| $75,312|Systems Analyst
176|Conflux Systems|12| $74,689|Systems Analyst
177|Silicus Technologies|12| $68,517|Systems Analyst
178|Spl Consulting|12| $66,417|Systems Analyst
179|Xylo Consulting|12| $65,000|Systems Analyst
180|Vigna Solutions|12| $63,980|Systems Analyst
181|Cdrp Technologies|12| $60,000|Systems Analyst
182|Stratitude|11| $91,261|Systems Analyst
183|Opusing|11| $81,273|Systems Analyst
184|Bodhtree Solutions|11| $79,636|Systems Analyst
185|Eclat Integrated Software Solutions|11| $76,182|Systems Analyst
186|Global Information Systems|11| $72,364|Systems Analyst
187|Harken Data|11| $70,791|Systems Analyst
188|Indu|11| $69,626|Systems Analyst
189|Anjaneyap|11| $68,733|Systems Analyst
190|Sat Solutions|11| $67,818|Systems Analyst
191|Maple Software|11| $66,145|Systems Analyst
192|Vintech Solutions|11| $65,861|Systems Analyst
193|Tech Mahindra Technologies|11| $65,426|Systems Analyst
194|Technocrafts|11| $64,765|Systems Analyst
195|Mobilize|11| $63,000|Systems Analyst
196|Yasme Soft|11| $62,455|Systems Analyst
197|Cloud Source|11| $61,844|Systems Analyst
198|Hindsight Software Solutions|11| $61,647|Systems Analyst
199|Arcus Technologies Dba Kat Tech Systems|11| $61,552|Systems Analyst
200|Donato Technologies|11| $59,586|Systems Analyst
201|Stiaos Technologies|11| $55,926|Systems Analyst
202|Tru Solution Systems|10| $72,800|Systems Analyst
203|Appnet Global|10| $65,000|Systems Analyst
204|Unikon It|10| $64,400|Systems Analyst
205|Gannu Software|10| $62,200|Systems Analyst
206|Nettlinx|10| $61,970|Systems Analyst
207|Ang Infotech|10| $61,797|Systems Analyst
208|Tech Profy|10| $61,517|Systems Analyst
209|Techtheme Solutions|10| $61,000|Systems Analyst
210|Excerio|10| $60,607|Systems Analyst
211|Simeio Solutions|9| $104,518|Systems Analyst
212|New York Technology Partners|9| $84,667|Systems Analyst
213|Tetrasoft|9| $83,278|Systems Analyst
214|Idol Soft|9| $81,111|Systems Analyst
215|Paramount Global Solutions|9| $77,170|Systems Analyst
216|Oasys Technologies|9| $76,321|Systems Analyst
217|Sdilogic|9| $73,778|Systems Analyst
218|Strategy Soft|9| $70,556|Systems Analyst
219|Kairos Technologies|9| $70,316|Systems Analyst
